system:index,NDVI,.geo
238,0.05360134003350084,"{""type"":""Point"",""coordinates"":[73.0213818780148,19.173484122962897]}"
239,-0.10371819960861056,"{""type"":""Point"",""coordinates"":[72.79739130836514,19.12688481688564]}"
240,-0.09878682842287695,"{""type"":""Point"",""coordinates"":[72.76569023160714,18.9974856334617]}"
241,0.2223037417461482,"{""type"":""Point"",""coordinates"":[73.00206546112592,18.95487616638905]}"
242,0.11344721857205431,"{""type"":""Point"",""coordinates"":[73.02176788423145,19.046298927977446]}"
243,-0.09550748752079867,"{""type"":""Point"",""coordinates"":[72.96232277726159,19.00528557935951]}"
244,0.09585492227979274,"{""type"":""Point"",""coordinates"":[73.05137513941337,19.148663708746252]}"
245,0.10173857050869285,"{""type"":""Point"",""coordinates"":[72.87528844013805,19.120264918476806]}"
246,0.31958319905467825,"{""type"":""Point"",""coordinates"":[72.84441395510633,19.13501235043091]}"
247,0.12117177097203728,"{""type"":""Point"",""coordinates"":[72.99895047624678,19.128793110304184]}"
248,0.37781858993980205,"{""type"":""Point"",""coordinates"":[72.8883020450515,19.185444345185434]}"
249,0.3602577873254565,"{""type"":""Point"",""coordinates"":[72.9412819157358,19.040066936855297]}"
250,-0.13609467455621302,"{""type"":""Point"",""coordinates"":[72.92972627844928,18.975191906119225]}"
251,0.33213118449227996,"{""type"":""Point"",""coordinates"":[73.049195437578,19.15188479574378]}"
252,0.3931004174906614,"{""type"":""Point"",""coordinates"":[72.98353419078114,19.104423665587845]}"
253,-0.13214116157619876,"{""type"":""Point"",""coordinates"":[72.96037642921698,19.02551903105246]}"
254,-0.09838022165387894,"{""type"":""Point"",""coordinates"":[72.77056245779318,19.058783581120913]}"
255,0.05106382978723404,"{""type"":""Point"",""coordinates"":[72.84102798997323,19.02100159355894]}"
256,0.10080909687294992,"{""type"":""Point"",""coordinates"":[72.86063384101509,19.06477194355542]}"
257,-0.10330925583739291,"{""type"":""Point"",""coordinates"":[72.77296027861429,19.091854635282974]}"
258,-0.13811802232854864,"{""type"":""Point"",""coordinates"":[72.88527740254516,18.93978215111184]}"
259,-0.11642444131895609,"{""type"":""Point"",""coordinates"":[72.87559394686804,18.99638939285342]}"
260,-0.09868966661137833,"{""type"":""Point"",""coordinates"":[72.97495951970667,19.027592050529123]}"
261,0.11893764434180139,"{""type"":""Point"",""coordinates"":[72.94682862995066,19.168202775693196]}"
262,-0.04111926292441563,"{""type"":""Point"",""coordinates"":[72.96834176575615,19.11890301461889]}"
263,-0.10761705101327743,"{""type"":""Point"",""coordinates"":[72.76833957385699,18.998777515360672]}"
264,0.1255306246209824,"{""type"":""Point"",""coordinates"":[73.04712400521652,19.14565131248585]}"
265,0.31275349256421814,"{""type"":""Point"",""coordinates"":[73.0490422539689,19.10261107899415]}"
266,-0.09753628079649004,"{""type"":""Point"",""coordinates"":[72.79057870323433,18.986489849532585]}"
267,0.14636015325670498,"{""type"":""Point"",""coordinates"":[72.87434370708245,19.194432142303636]}"
268,-0.10065359477124183,"{""type"":""Point"",""coordinates"":[72.94599920482732,19.001314667856747]}"
269,0.09727081875437368,"{""type"":""Point"",""coordinates"":[73.06240936330543,19.13423782171129]}"
270,-0.13772264631043257,"{""type"":""Point"",""coordinates"":[72.85654284400945,18.91136284955586]}"
271,-0.07874978173563821,"{""type"":""Point"",""coordinates"":[72.82830983382487,19.03394820079384]}"
272,0.1913752653334823,"{""type"":""Point"",""coordinates"":[72.93086185433043,19.169575432254977]}"
273,0.06317512274959083,"{""type"":""Point"",""coordinates"":[72.90303593353657,19.051954009162404]}"
274,0.11347792408985283,"{""type"":""Point"",""coordinates"":[72.98895165927807,19.120388561948804]}"
275,-0.11334583262314642,"{""type"":""Point"",""coordinates"":[72.76076838229477,19.031807375317108]}"
276,0.12432432432432433,"{""type"":""Point"",""coordinates"":[73.07086887757718,19.061870854185734]}"
277,0.19284294234592445,"{""type"":""Point"",""coordinates"":[72.90247186489944,18.998921398188305]}"
278,0.07099391480730223,"{""type"":""Point"",""coordinates"":[73.0424954638287,19.182913170698782]}"
279,0.14101836077985994,"{""type"":""Point"",""coordinates"":[72.86715776868215,19.19971054042034]}"
280,-0.13431844595716422,"{""type"":""Point"",""coordinates"":[72.81716250152981,19.0755193839638]}"
281,0.365768896611642,"{""type"":""Point"",""coordinates"":[73.0391075067809,19.170248442795483]}"
